PolicyNumber,CarrierCode,AgentCode,TransactionType,PolicyEffectiveDate,PolicyExpirationDate,TransactionEffectiveDate,TermLengthMonths,LineOfBusiness,Subline,InsuredName,InsuredPrimaryEmail,RiskLocationAddress,State,InsuredMailingAddress,RatedDriverCount,VehicleCount,DwellingYearBuilt,ConstructionType,ProtectionClass,Limit_BI,Limit_PD,Deductible_Collision,Deductible_Comprehensive,TermPremium,WrittenPremium,EarnedPremium,BillingPlan,CancellationDate,ReinstatementDate,RewriteIndicator,eDocIndicator,UnearnedPremium
BZW5002091,NATI,120262,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Jacob Santiago,jacob.santiago@insmail.com,"3999 Diaz Crescent Apt. 721, Wagnermouth, TX 19154",TX,"3999 Diaz Crescent Apt. 721, Wagnermouth, TX 19154",,,1965,Masonry Veneer,4,,,,,1394.86,1394.86,1047.1,Direct Bill,,,FALSE,TRUE,347.76
JEG2836010,HART,120093,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,Jesse Salazar,jesse.salazar@insmail.com,"6085 Ryan Tunnel Suite 487, West Jessica, NM 09933",NM,"6085 Ryan Tunnel Suite 487, West Jessica, NM 09933",,,,,,,,,,3909.51,3909.51,2934.81,Agency Bill,,,FALSE,TRUE,974.7
ZRJ0171264,PRGS,120139,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Lauren Nguyen,lauren.nguyen@mail.com,"506 Michelle Mountain, Port Davidfurt, TX 26010",TX,"506 Michelle Mountain, Port Davidfurt, TX 26010",2,1,,,,50/100,250000,250,2500,2422.1,2422.1,1818.23,Direct Bill,,,FALSE,TRUE,603.87
YKA9823210,NATI,120192,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Christopher Jones,christopher.jones@policyhub.org,"6678 Coleman Viaduct, South Gailland, DC 62579",DC,"6678 Coleman Viaduct, South Gailland, DC 62579",4,4,,,,50/100,100000,250,500,1915.46,1915.46,1437.91,Direct Bill,,,FALSE,TRUE,477.55
XUA2006579,ALLS,120143,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Catherine Rodriguez,catherine.rodriguez@mail.com,"3847 Wells Forks Suite 283, Kathleenville, LA 62086",LA,"3847 Wells Forks Suite 283, Kathleenville, LA 62086",3,1,,,,25/50,100000,1000,1000,1539.01,1539.01,1155.31,Direct Bill,,,FALSE,TRUE,383.7
AKZ4596526,AMFA,120255,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Gregory Stokes,gregory.stokes@policyhub.org,"33254 Anderson Motorway Apt. 291, Baxtershire, AZ 82377",AZ,"33254 Anderson Motorway Apt. 291, Baxtershire, AZ 82377",,,,Frame,8,,,,,4101.34,4101.34,3078.81,Agency Bill,,,FALSE,TRUE,1022.53
TZD2937538,PRGS,120205,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Mark Mendoza,mark.mendoza@mail.com,"893 Martinez Plains, Port Courtney, NH 39672",NH,"237 Susan Burg Suite 213, Tylerport, MI 75702",,,1989,Masonry,8,,,,,1679.08,1679.08,1260.46,Agency Bill,,,FALSE,FALSE,418.62
KEK3297248,ALLS,120291,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Erica Jackson,erica.jackson@customer.net,"1579 Michael Canyon Suite 963, Lake Jennifer, FL 19740",FL,"1579 Michael Canyon Suite 963, Lake Jennifer, FL 19740",,,,Frame,5,,,,,3357.26,3357.26,2520.24,Direct Bill,,,FALSE,TRUE,837.02
AYC4650886,NATI,120026,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Sarah Rogers,sarah.rogers@mail.com,"5248 Denise Ranch Suite 562, New Wanda, DC 99304",DC,"5248 Denise Ranch Suite 562, New Wanda, DC 99304",,,2001,Frame,3,,,,,1978.86,1978.86,1485.5,Direct Bill,,,FALSE,TRUE,493.36
THN6839723,HART,120268,Endorsement,4/1/2025,4/1/2026,2/9/2026,12,Umbrella,Personal Umbrella,Melissa Jones,melissa.jones@customer.net,"6607 Stephanie Spurs, Lake Julie, GU 19365",GU,"6607 Stephanie Spurs, Lake Julie, GU 19365",,,,,,,,,,314.46,0.78,236.06,Agency Bill,,,FALSE,TRUE,78.4
UBN0903964,ALLS,120110,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Travis Mason,travis.mason@customer.net,"337 Brittney Crescent, Lake Jennifer, KS 31272",KS,"289 Joseph Cliff Suite 314, New Destiny, NJ 38492",3,1,,,,25/50,50000,1000,500,1600.13,1600.13,1201.19,Direct Bill,,,FALSE,TRUE,398.94
HRD5856976,ALLS,120283,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Laura Perkins,laura.perkins@example.com,"6339 Lyons Road, New Johnhaven, OK 05097",OK,"6339 Lyons Road, New Johnhaven, OK 05097",,,1982,Masonry,7,,,,,3696.24,3696.24,2774.71,Direct Bill,,,FALSE,TRUE,921.53
ECR6646240,ALLS,120215,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Andrea Woodard,andrea.woodard@insmail.com,"3140 Huber Ridge, Lisaborough, LA 88547",LA,"3140 Huber Ridge, Lisaborough, LA 88547",2,3,,,,50/100,100000,1000,500,1724.82,1724.82,1294.8,Direct Bill,,,FALSE,TRUE,430.02
CHM2995807,CHUB,120178,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,Bradley Jones,bradley.jones@insmail.com,"407 Davis Village Suite 729, Carolfort, NH 27506",NH,"407 Davis Village Suite 729, Carolfort, NH 27506",,,,,,,,,,2000,2000,1501.37,Direct Bill,,,FALSE,FALSE,498.63
BRL3677367,TRAV,120115,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Christina Mercado,christina.mercado@mail.com,"630 Brian Well Suite 019, Stephenfurt, MS 13748",MS,"630 Brian Well Suite 019, Stephenfurt, MS 13748",,,,Non-Combustible,9,,,,,1500,1500,1126.03,Direct Bill,,,FALSE,TRUE,373.97
JAM3576748,TRAV,120174,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Steven Gill,steven.gill@customer.net,"114 Rachael Cliff Suite 261, Port Julie, NY 75537",NY,"114 Rachael Cliff Suite 261, Port Julie, NY 75537",,,,Joisted Masonry,3,,,,,1500,1500,1126.03,Direct Bill,,,FALSE,TRUE,373.97
WBR9020529,CHUB,120184,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Taylor Stone,taylor.stone@policyhub.org,"99607 Kyle Terrace, Dominguezshire, AL 26221",AL,"71965 Gonzales Isle, North Stacey, UT 99029",1,2,,,,50/100,100000,500,500,1480.22,1480.22,1111.18,Direct Bill,,,FALSE,TRUE,369.04
HAW6272673,CHUB,120296,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Brenda Pittman,brenda.pittman@customer.net,"88924 Clarence Crossroad, North Richardmouth, FL 60139",FL,"88924 Clarence Crossroad, North Richardmouth, FL 60139",,,1981,Frame,4,,,,,1062.2,1062.2,797.38,Direct Bill,,,FALSE,TRUE,264.82
SLL4963986,HART,120009,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Joan Pittman,joan.pittman@customer.net,"575 Denise Ville Apt. 683, North Amanda, TX 56336",TX,"70364 Howell Unions Suite 365, Juanborough, MH 25102",,,1980,Frame,8,,,,,1017.58,1017.58,763.88,Direct Bill,,,FALSE,TRUE,253.7
NBB5542618,CHUB,120044,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Carol Jones,carol.jones@example.com,"29693 Leslie Station Apt. 585, Port Amy, MO 41488",MO,"29693 Leslie Station Apt. 585, Port Amy, MO 41488",,,1976,Masonry,2,,,,,1751.7,1751.7,1314.97,Agency Bill,,,FALSE,TRUE,436.73
DVM6980516,FARM,120041,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Michelle Simpson,michelle.simpson@insmail.com,"663 Kevin Village Apt. 832, Zavalaton, FL 86037",FL,"663 Kevin Village Apt. 832, Zavalaton, FL 86037",3,3,,,,25/50,250000,1000,500,2554.75,2554.75,1917.81,Direct Bill,,,FALSE,TRUE,636.94
LEV9399261,ALLS,120021,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Andrea Hale,andrea.hale@mail.com,"00364 Taylor Islands Apt. 477, Josephmouth, RI 46561",RI,"00364 Taylor Islands Apt. 477, Josephmouth, RI 46561",2,2,,,,25/50,250000,1000,500,1773.89,1773.89,1331.63,Direct Bill,,,FALSE,TRUE,442.26
JEW1395623,PRGS,120102,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Troy Perez,troy.perez@policyhub.org,"17159 Wang Passage, Lake April, WA 11303",WA,"58985 Julie Cape, North Dylanshire, MI 69042",3,1,,,,25/50,50000,1000,500,1139,1139,855.03,Direct Bill,,,FALSE,TRUE,283.97
JUS6307856,ALLS,120071,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Alicia Pena,alicia.pena@customer.net,"239 Patty Tunnel Suite 506, Robertbury, CO 00619",CO,"793 Colleen Forks Suite 270, Ericborough, MA 67924",,,2014,Frame,5,,,,,1108.48,1108.48,832.12,Direct Bill,,,FALSE,TRUE,276.36
FTD1887351,NATI,120262,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Kristen Keith,kristen.keith@mail.com,"406 Darryl Knoll, West Leeville, WA 36180",WA,"406 Darryl Knoll, West Leeville, WA 36180",,,,Non-Combustible,4,,,,,4529.63,4529.63,3400.32,Direct Bill,,,FALSE,TRUE,1129.31
JMA0696161,LIBM,120282,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Amber Torres,amber.torres@example.com,"4341 Sanchez Springs, South Christopher, NE 68476",NE,"25881 Reed Highway, East Mark, KS 39567",2,3,,,,50/100,100000,500,1000,846.81,846.81,635.69,Direct Bill,,,FALSE,TRUE,211.12
WHX3625956,GEIC,120235,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,John Frazier,john.frazier@policyhub.org,"19271 Mercado Passage, New Amandamouth, ME 83313",ME,"544 Christopher Centers, New Mariamouth, MT 46937",2,5,,,,50/100,100000,500,250,3398.1,3398.1,2550.9,Agency Bill,,,FALSE,FALSE,847.2
HGM9377321,TRAV,120182,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Mary Lee,mary.lee@example.com,"9719 Kimberly Station, North Melaniehaven, IL 59630",IL,"9719 Kimberly Station, North Melaniehaven, IL 59630",4,4,,,,25/50,100000,500,500,916.16,916.16,687.75,Direct Bill,,,FALSE,TRUE,228.41
BSX1108673,GEIC,120275,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Lisa Hicks,lisa.hicks@mail.com,"548 Justin Square, West Karen, PW 44843",PW,"24082 Natalie Burgs, North Anne, HI 90086",1,2,,,,25/50,250000,1000,1000,827.36,827.36,621.09,Direct Bill,,,FALSE,TRUE,206.27
JGY2074323,NATI,120066,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Desiree Hughes,desiree.hughes@policyhub.org,"385 Michelle Views, Taylorstad, ND 85239",ND,"53512 Evans Freeway Apt. 154, Lake Michaela, AL 68850",1,1,,,,25/50,250000,2500,500,550.78,550.78,413.46,Direct Bill,,,FALSE,TRUE,137.32
MGF1557649,ALLS,120050,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Maria Kelly,maria.kelly@policyhub.org,"5540 Compton Ramp Apt. 710, Lake Lauraberg, KS 47860",KS,"5540 Compton Ramp Apt. 710, Lake Lauraberg, KS 47860",3,1,,,,50/100,250000,1000,1000,814.98,814.98,611.79,Agency Bill,,,FALSE,TRUE,203.19
BGS9210213,GEIC,120179,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Richard Benson,richard.benson@policyhub.org,"2568 Herrera Locks Apt. 852, Dorseyfurt, KS 61358",KS,"2568 Herrera Locks Apt. 852, Dorseyfurt, KS 61358",1,3,,,,25/50,250000,1000,250,1978.37,1978.37,1485.13,Direct Bill,,,FALSE,TRUE,493.24
BAW5597011,LIBM,120075,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,John Henry,john.henry@policyhub.org,"9172 Ramirez Pines Apt. 257, Tonihaven, VA 48115",VA,"9172 Ramirez Pines Apt. 257, Tonihaven, VA 48115",,,,Non-Combustible,3,,,,,3626.85,3626.85,2722.62,Direct Bill,,,FALSE,TRUE,904.23
FHK1788367,PRGS,120251,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Umbrella,Personal Umbrella,Alexis Dixon,alexis.dixon@policyhub.org,"8272 Emily Cliffs, West John, OR 84005",OR,"7811 Garcia Vista Suite 666, Brittanystad, HI 39783",,,,,,,,,,249.44,249.44,187.25,Direct Bill,,,FALSE,TRUE,62.19
CFZ5702895,CHUB,120173,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Veronica Kim,veronica.kim@insmail.com,"080 Ball Loaf, Stuartton, NC 55339",NC,"080 Ball Loaf, Stuartton, NC 55339",2,1,,,,25/50,50000,500,1000,2207.67,2207.67,1657.26,Direct Bill,,,FALSE,TRUE,550.41
VXJ8897017,PRGS,120076,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Christopher Collier,christopher.collier@customer.net,"283 Nicole Fields, Abigailfort, AL 94151",AL,"283 Nicole Fields, Abigailfort, AL 94151",2,2,,,,50/100,100000,500,500,1159.7,1159.7,870.57,Direct Bill,,,FALSE,TRUE,289.13
RCD0713647,TRAV,120247,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Jimmy Morgan,jimmy.morgan@policyhub.org,"186 Richardson Port, Welchburgh, OK 14366",OK,"186 Richardson Port, Welchburgh, OK 14366",2,2,,,,25/50,250000,2500,1000,1129.71,1129.71,848.06,Direct Bill,,,FALSE,TRUE,281.65
TGR0436842,ALLS,120056,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,Eric Browning,eric.browning@customer.net,"807 Pamela Rapid Apt. 936, North Jasmine, NE 24260",NE,"807 Pamela Rapid Apt. 936, North Jasmine, NE 24260",,,,,,,,,,17313.54,17313.54,12997.01,Direct Bill,,,FALSE,TRUE,4316.53
RCL7396460,PRGS,120299,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Carrie Carroll,carrie.carroll@example.com,"6706 Brittney Spring, West Matthew, MA 47764",MA,"6706 Brittney Spring, West Matthew, MA 47764",2,1,,,,25/50,100000,500,500,486.74,486.74,365.39,Agency Bill,,,FALSE,TRUE,121.35
NDB1981171,TRAV,120041,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Justin Frazier,justin.frazier@example.com,"67473 Mary Coves Suite 488, Lake Jessica, ND 31766",ND,"67473 Mary Coves Suite 488, Lake Jessica, ND 31766",,,2013,Joisted Masonry,6,,,,,1666.55,1666.55,1251.05,Agency Bill,,,FALSE,FALSE,415.5
BBT8636064,FARM,120124,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Denise Ortega,denise.ortega@example.com,"67230 Katherine Manor, Castillohaven, NC 28778",NC,"67230 Katherine Manor, Castillohaven, NC 28778",1,2,,,,50/100,100000,2500,1000,918.81,918.81,689.74,Agency Bill,,,FALSE,TRUE,229.07
ZER5933591,AMFA,120188,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,David Pena,david.pena@insmail.com,"7805 Andrew Road Apt. 813, Brianaburgh, FL 34888",FL,"7805 Andrew Road Apt. 813, Brianaburgh, FL 34888",,,2004,Frame,8,,,,,2516.76,2516.76,1889.29,Direct Bill,,,FALSE,TRUE,627.47
UGP9507783,AMFA,120235,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Paul Gonzalez,paul.gonzalez@insmail.com,"45133 Foster Union Suite 686, West Tony, FL 56957",FL,"5029 Elizabeth Mountain, Harperchester, FL 64780",1,4,,,,50/100,100000,500,500,1718.64,1718.64,1290.16,Direct Bill,,,FALSE,TRUE,428.48
JWL5858730,ALLS,120012,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Sean Watkins,sean.watkins@mail.com,"6557 Phillip Ville, New Brandon, AR 67852",AR,"6557 Phillip Ville, New Brandon, AR 67852",1,1,,,,25/50,250000,500,1000,1313.24,1313.24,985.83,Agency Bill,,,FALSE,FALSE,327.41
BXG5239253,ALLS,120280,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Olivia Castro,olivia.castro@mail.com,"465 Rachel Curve Apt. 929, Thompsonfort, NC 08357",NC,"465 Rachel Curve Apt. 929, Thompsonfort, NC 08357",,,1979,Frame,5,,,,,3040.25,3040.25,2282.27,Agency Bill,,,FALSE,FALSE,757.98
MBK7572583,PRGS,120236,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Amy Oconnor,amy.oconnor@policyhub.org,"53246 Ariel Orchard Apt. 606, New Jennifer, VA 35478",VA,"53246 Ariel Orchard Apt. 606, New Jennifer, VA 35478",,,,Frame,8,,,,,3220.43,3220.43,2417.53,Agency Bill,,,FALSE,FALSE,802.9
AYK9615935,CHUB,120064,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Douglas Thomas,douglas.thomas@insmail.com,"198 Luis Tunnel Apt. 819, Johnsville, CT 69970",CT,"198 Luis Tunnel Apt. 819, Johnsville, CT 69970",4,2,,,,50/100,100000,1000,1000,1378.83,1378.83,1035.07,Agency Bill,,,FALSE,TRUE,343.76
BAA6321428,PRGS,120226,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Cassandra Serrano,cassandra.serrano@insmail.com,"149 Morris Haven Suite 047, Brandonborough, ME 45901",ME,"149 Morris Haven Suite 047, Brandonborough, ME 45901",2,1,,,,25/50,250000,500,500,951.86,951.86,714.55,Agency Bill,,,FALSE,TRUE,237.31
ZUE6443107,TRAV,120268,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Albert Hernandez,albert.hernandez@mail.com,"450 James Islands, Davisshire, LA 64458",LA,"232 Coleman Harbor, Mariofurt, MT 27340",,,2011,Non-Combustible,2,,,,,925.31,925.31,694.62,Agency Bill,,,FALSE,TRUE,230.69
DYN8263981,PRGS,120148,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Deborah Beasley,deborah.beasley@mail.com,"0536 Coleman Radial Apt. 144, North Brendaport, ID 53141",ID,"0536 Coleman Radial Apt. 144, North Brendaport, ID 53141",,,1986,Frame,4,,,,,565.89,565.89,424.81,Agency Bill,,,FALSE,TRUE,141.08
CEH4014926,GEIC,120180,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Evelyn Carter,evelyn.carter@example.com,"74681 Mendoza Village, New Alicia, MT 92132",MT,"74681 Mendoza Village, New Alicia, MT 92132",,,1978,Frame,4,,,,,500,500,375.34,Direct Bill,,,FALSE,TRUE,124.66
JDW2488773,ALLS,120146,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Amber Mooney,amber.mooney@customer.net,"4630 Campos Burg Apt. 008, North Peterville, IL 16223",IL,"4630 Campos Burg Apt. 008, North Peterville, IL 16223",3,1,,,,25/50,250000,1000,1000,1807.77,1807.77,1357.07,Agency Bill,,,FALSE,FALSE,450.7
UEM8536988,ALLS,120014,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Kristen Herrera,kristen.herrera@insmail.com,"5894 Gregory Centers, Bradleyville, MO 85330",MO,"5894 Gregory Centers, Bradleyville, MO 85330",3,1,,,,50/100,25000,1000,1000,2306.61,2306.61,1731.54,Direct Bill,,,FALSE,TRUE,575.07
LTM1662455,ALLS,120108,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Ashley Mcgee,ashley.mcgee@example.com,"187 Patrick Stream Apt. 479, West Anthony, NH 13614",NH,"187 Patrick Stream Apt. 479, West Anthony, NH 13614",,,1987,Masonry,6,,,,,1179.65,1179.65,885.55,Direct Bill,,,FALSE,TRUE,294.1
WTZ7784974,HART,120275,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Kevin Roberts,kevin.roberts@policyhub.org,"7725 Kimberly Fork Apt. 480, East Shannon, ND 56381",ND,"5683 Crystal Greens, New Mary, NV 59669",,,1979,Fire Resistive,7,,,,,3034.07,3034.07,2277.63,Agency Bill,,,FALSE,TRUE,756.44
PXJ3442140,PRGS,120122,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Kelly Hodges,kelly.hodges@customer.net,"389 Fleming Trail Apt. 615, Lake Dustin, WI 97794",WI,"389 Fleming Trail Apt. 615, Lake Dustin, WI 97794",,,,Masonry Veneer,7,,,,,1993,1993,1496.12,Direct Bill,,,FALSE,TRUE,496.88
MGW2932803,HART,120069,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Michael Patterson,michael.patterson@example.com,"2550 Barry Mall, Tiffanyland, MI 02699",MI,"2550 Barry Mall, Tiffanyland, MI 02699",3,2,,,,25/50,50000,500,2500,1342.41,1342.41,1007.73,Agency Bill,,,FALSE,TRUE,334.68
KLR4468689,PRGS,120116,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Denise Murillo,denise.murillo@policyhub.org,"1158 Joseph Field, East Juliehaven, MD 83152",MD,"1158 Joseph Field, East Juliehaven, MD 83152",2,2,,,,25/50,50000,1000,1000,2943.19,2943.19,2209.41,Agency Bill,,,FALSE,TRUE,733.78
CMZ7324321,TRAV,120135,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,Adam Rhodes,adam.rhodes@mail.com,"229 Thompson Trail Suite 355, East Angel, UT 50625",UT,"229 Thompson Trail Suite 355, East Angel, UT 50625",,,,,,,,,,3825.72,3825.72,2871.91,Direct Bill,,,FALSE,TRUE,953.81
ACU3074084,FARM,120193,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Elaine Hayes,elaine.hayes@example.com,"971 Jonathan Freeway Suite 494, West Ryanberg, PR 07860",PR,"971 Jonathan Freeway Suite 494, West Ryanberg, PR 07860",,,1992,Joisted Masonry,8,,,,,2499.63,2499.63,1876.43,Agency Bill,,,FALSE,FALSE,623.2
BZX3856666,CHUB,120239,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Barbara Clark,barbara.clark@example.com,"07006 Webb Walks Suite 421, Lake Karenmouth, IL 46536",IL,"07006 Webb Walks Suite 421, Lake Karenmouth, IL 46536",,,1987,Frame,6,,,,,3651.79,3651.79,2741.34,Agency Bill,,,FALSE,TRUE,910.45
