CarrierCode,AgentCode,PolicyNumber,ClaimNumber,LossDate,ReportDate,ClaimStatus,CauseOfLoss,LossLocation,PaidLossAmount,PaidExpenseAmount,ReserveLossAmount,ReserveExpenseAmount,CloseDate,ReopenDate,AdjusterContact
AMFA,120165,NGN7545498,2025-000021,2025-04-21,2025-04-23,Closed,Collision,"81479 Arthur Roads, New Tonyaside, LA 18317",6357.3,825.73,0.0,0.0,2025-06-11,,"L. Chapman, 928.404.0081"
NATI,120298,FYN2721719,2025-000022,2025-04-21,2025-04-21,Closed,Fire,"9460 Calvin Bridge Suite 614, Lisaton, NE 10202",7319.55,1435.71,0.0,0.0,2025-05-23,,"S. Murphy, 961-582-9992x02267"
TRAV,120044,RRY3678497,2025-000023,2025-04-21,2025-04-21,Open,GL Prem/Ops,"4076 Richard Radial Apt. 199, Jessicashire, KS 80717",30081.68,14591.72,60511.84,5251.51,,,"M. Gordon, 001-751-522-9012x68187"
GEIC,120120,EKM2564777,2025-000024,2025-04-22,2025-04-22,Closed,Water (non-flood),"7028 Timothy Circle, Lake Connor, MH 15484",1908.97,584.72,0.0,0.0,2025-06-09,,"T. Holloway, 001-421-504-0006x0876"
GEIC,120041,PNW1954948,2025-000025,2025-04-23,2025-04-23,Reopened,Liability,"7719 Nguyen Run, East Donna, CO 74723",6416.98,2664.91,9290.92,1728.78,2025-05-27,2025-06-07,"D. Long, 598.736.2414"
ALLS,120223,EPE3934904,2025-000026,2025-04-24,2025-04-24,Closed,Comprehensive Theft,"514 Jeffrey Freeway Apt. 600, East Linda, VT 95775",6582.94,1124.07,0.0,0.0,2025-06-01,,"H. Ortega, 001-944-400-7430"
LIBM,120138,JEH8744649,2025-000027,2025-04-27,2025-04-28,Closed,Collision,"5250 Clark Circle, Kennethfurt, MH 43252",2701.98,327.66,0.0,0.0,2025-05-05,,"B. Pierce, +1-420-427-2469"
LIBM,120175,KWN0368975,2025-000028,2025-04-29,2025-04-29,Closed,Water (non-flood),"720 Timothy Creek, Brandonview, AR 81520",2859.62,499.51,0.0,0.0,2025-05-06,,"A. Griffith, 001-481-849-6673"
NATI,120080,WUR2540426,2025-000029,2025-05-03,2025-05-03,Open,Glass,"10507 Sandra Via Apt. 400, North Kristenborough, GU 79794",1454.07,181.61,1172.61,56.69,,,"A. Thomas, 8154301095"
ALLS,120079,SBJ5420655,2025-000030,2025-05-03,2025-05-03,Open,Collision,"6897 Martin Court, Hoborough, MI 27332",408.34,181.81,871.44,92.1,,,"J. Hensley, +1-863-966-9782x961"
LIBM,120221,GYZ3810340,2025-000031,2025-05-05,2025-05-06,Closed,Glass,"46777 Brian Lane, New Ryanborough, DC 69051",11351.33,901.94,0.0,0.0,2025-07-30,,"K. Livingston, (565)987-5775"
GEIC,120163,UWN6367879,2025-000032,2025-05-05,2025-05-08,Closed,Fire,"4063 Marcus View, Tuckerstad, IN 89468",9685.62,1554.44,0.0,0.0,2025-08-05,,"N. Flynn, (706)520-3866x78940"
NATI,120065,AZL8403094,2025-000033,2025-05-09,2025-05-11,Closed,Glass,"6129 Hanson Mountain Suite 650, South Garrett, WI 12914",3257.11,769.46,0.0,0.0,2025-05-18,,"L. Rowe, 682-520-8270x536"
LIBM,120105,XTN9527131,2025-000034,2025-05-09,2025-05-09,Closed,Wind/Hail,"83188 Martinez Lakes, Coletown, OH 45823",2812.59,153.02,0.0,0.0,2025-06-23,,"C. Vega, 257-261-4447"
FARM,120257,SHZ1849605,2025-000035,2025-05-10,2025-05-10,Closed,Liability,"483 Davis Heights, East Ryan, ND 52740",22105.71,2586.14,0.0,0.0,2025-07-07,,"K. Johnson, (610)831-5943"
PRGS,120184,TFS2762526,2025-000036,2025-05-10,2025-05-12,Closed,Comprehensive Theft,"91666 Allen Village Suite 274, Donnachester, IN 33218",707.83,199.51,0.0,0.0,2025-07-20,,"C. Brown, (329)323-6584x315"
PRGS,120181,LMS0014178,2025-000037,2025-05-11,2025-05-11,Open,Liability BI/PD,"8525 Mendoza Fords Suite 273, Port Timothytown, MH 55346",511.05,86.37,737.25,83.21,,,"T. Ward, 001-813-394-2056x952"
CHUB,120237,ZPT4574386,2025-000038,2025-05-12,2025-05-14,Closed,Liability BI/PD,"8642 Faulkner Ranch Suite 839, Valerieport, AS 35161",1396.7,69.84,0.0,0.0,2025-06-22,,"A. Wong, 771.830.1047"
AMFA,120191,UNP4716631,2025-000039,2025-05-13,2025-05-14,Closed,Collision,"6358 Erickson Land, Longstad, NC 91138",3258.62,480.96,0.0,0.0,2025-06-10,,"C. Thompson, 6366525258"
ALLS,120101,KJH3322899,2025-000040,2025-05-14,2025-05-17,Closed,Weather,"164 Mitchell Points, New Bradley, IA 06773",625.32,150.78,0.0,0.0,2025-07-26,,"J. Thompson, 472-973-6034"
PRGS,120243,UMN8745918,2025-000041,2025-05-15,2025-05-15,Closed,Wind/Hail,"330 Mary Island, Christopherborough, WA 13011",24564.61,2748.53,0.0,0.0,2025-09-13,,"T. Smith, +1-724-419-0434"
LIBM,120270,MBP2384450,2025-000042,2025-05-16,2025-05-18,Closed,Comprehensive Theft,"335 Raymond Prairie, East Julia, PA 35635",1560.47,189.01,0.0,0.0,2025-09-11,,"D. Mccoy, 625-657-8896"
GEIC,120296,EBA5020192,2025-000043,2025-05-20,2025-05-21,Open,Other,"923 Campos Shore Apt. 776, Kimberlyport, TX 23194",2171.6,1660.01,6767.9,979.58,,,"L. Garcia, 768.217.9655x2084"
PRGS,120274,CPD8499303,2025-000044,2025-05-20,2025-05-20,Closed,Glass,"6424 Sandra Island Apt. 121, Shaneton, DC 71105",971.38,190.53,0.0,0.0,2025-07-28,,"K. Sullivan, 7299883161"
HART,120053,FNY2864108,2025-000045,2025-05-24,2025-05-25,Closed,Water (non-flood),"5073 Tyler Lock, South Anthony, ND 67228",1349.8,389.32,0.0,0.0,2025-08-27,,"R. Lewis, 001-896-219-7588"
HART,120024,ZFC4285590,2025-000046,2025-05-25,2025-05-27,Closed,Collision,"82722 Bright Circle Apt. 759, Lake Juliashire, WA 99141",10777.34,1539.02,0.0,0.0,2025-06-13,,"A. King, 302.877.4588x476"
HART,120039,KNF4248469,2025-000047,2025-05-25,2025-05-26,Open,Liability BI/PD,"085 Mills Summit, Port Jonathonchester, DC 54043",445.48,138.39,852.37,150.33,,,"J. Green, 885-378-7757x7217"
GEIC,120098,YPS8775318,2025-000048,2025-05-25,2025-05-25,Open,Collision,"644 Andrea Land Apt. 593, Chadfurt, MH 26837",770.42,141.29,1436.93,61.0,,,"J. Miller, (551)371-3750"
PRGS,120290,XZU8494422,2025-000049,2025-05-26,2025-05-26,Closed,Collision,"864 Charlotte Summit, New Jamesburgh, MS 56908",1432.53,184.93,0.0,0.0,2025-08-18,,"D. Gomez, (469)845-0180"
TRAV,120180,ESC1265504,2025-000050,2025-05-26,2025-05-26,Closed,Collision,"58487 Smith Road, Davidborough, MP 55971",1993.0,332.26,0.0,0.0,2025-07-13,,"L. Anderson, 612-867-5461"
ALLS,120092,PUG9283028,2025-000051,2025-05-26,2025-05-27,Reopened,Fire,"75668 Diana Heights, New William, GA 86896",4289.22,989.71,1669.29,556.08,2025-08-14,2025-10-18,"J. Martin, +1-606-888-9277x4813"
HART,120243,TRE0777420,2025-000052,2025-05-27,2025-05-28,Closed,Liability,"16470 Kelly Manor Apt. 771, New Angela, SD 09795",4845.42,962.32,0.0,0.0,2025-06-14,,"M. Barton, 3288864889"
TRAV,120279,PUV7209537,2025-000053,2025-05-28,2025-06-03,Closed,Liability BI/PD,"7111 Wood Oval, Devinside, WV 66757",977.16,148.9,0.0,0.0,2025-07-22,,"M. Mann, 825.519.2669x9395"
TRAV,120190,DVH6965241,2025-000054,2025-05-29,2025-05-30,Closed,Other,"1681 Sutton Burgs Apt. 474, Arthurmouth, CT 81154",9910.28,2091.27,0.0,0.0,2025-06-18,,"M. Moore, +1-342-647-9885x19942"
AMFA,120004,AAT6050161,2025-000055,2025-05-30,2025-05-30,Open,Glass,"4821 Cynthia Plains, Johnview, PA 28605",444.17,154.23,1075.13,101.51,,,"D. Mooney, 001-461-281-9164x470"
NATI,120298,LXP8546866,2025-000056,2025-05-30,2025-06-01,Open,Collision,"7249 Austin Square Suite 109, North Judithton, AZ 92412",468.85,312.8,935.72,53.51,,,"J. Alvarez, 205-335-3201x53328"
PRGS,120056,XFP6076973,2025-000057,2025-06-03,2025-06-06,Closed,Collision,"98056 Thompson Bypass, Leroyberg, OR 84918",5102.57,721.81,0.0,0.0,2025-11-06,,"A. Sanchez, 428-395-0102x15121"
PRGS,120060,EEF4508979,2025-000058,2025-06-03,2025-06-07,Closed,Other,"09156 Matthew Summit, North Alan, LA 90113",15110.22,2685.67,0.0,0.0,2025-08-30,,"J. Gutierrez, +1-532-709-9509x3920"
TRAV,120142,VRU9069821,2025-000059,2025-06-05,2025-06-05,Open,Property Fire,"237 Roy Shoals Apt. 469, Karenbury, VI 95647",7749.66,1781.2,9261.04,1236.82,,,"A. Everett, 001-413-343-4603x0910"
NATI,120000,MHR7585208,2025-000060,2025-06-06,2025-06-06,Closed,Vehicle,"79508 Marcus Estate Suite 131, Port Larry, NC 43382",15784.33,3834.1,0.0,0.0,2025-06-20,,"A. Walker, 745-573-1098x613"
HART,120210,HTD8769186,2025-000061,2025-06-06,2025-06-06,Closed,Water (non-flood),"8508 Thompson Plains, Housechester, PR 44817",2899.47,172.23,0.0,0.0,2025-07-30,,"A. Macdonald, 374-546-4029x56922"
FARM,120004,WHC3864021,2025-000062,2025-06-06,2025-06-06,Closed,Water (non-flood),"541 Stacy Squares Apt. 700, Sarahmouth, AS 65986",21397.29,4902.1,0.0,0.0,2025-07-10,,"B. Parker, 001-663-741-7673x65841"
ALLS,120158,GAS1968844,2025-000063,2025-06-07,2025-06-07,Closed,Liability BI/PD,"887 Jamie Garden Suite 547, Monicashire, NC 75947",380.99,86.7,0.0,0.0,2025-08-12,,"J. Barnett, 328.908.8128x89226"
TRAV,120107,BFC6464712,2025-000064,2025-06-07,2025-06-09,Closed,Wind/Hail,"3463 Cardenas Underpass, Jennifershire, NV 85682",11341.18,2442.44,0.0,0.0,2025-07-31,,"J. Franco, +1-999-909-0366"
TRAV,120261,KKH6104787,2025-000065,2025-06-08,2025-06-09,Closed,Glass,"6821 Meyer Parkway Suite 470, Kelseyhaven, GU 86299",3627.93,732.68,0.0,0.0,2025-08-12,,"A. Reid, +1-943-759-1377x7108"
GEIC,120118,KHW4000080,2025-000066,2025-06-08,2025-06-08,Closed,Wind/Hail,"40706 Velazquez Gateway, West Nancy, VT 30660",3297.55,404.24,0.0,0.0,2025-08-29,,"V. White, 339-967-3208"
ALLS,120086,ZRR4365083,2025-000067,2025-06-09,2025-06-10,Open,Liability BI/PD,"5290 Lewis Fort, West Brandystad, AS 69226",595.31,265.63,2578.79,71.08,,,"V. Webster, 306.792.5114"
LIBM,120103,KMJ1829933,2025-000068,2025-06-09,2025-06-10,Closed,Water (non-flood),"9350 Sandra Points, East Tammy, SC 42216",2526.36,942.51,0.0,0.0,2025-09-18,,"K. Wilson, +1-486-686-9520"
HART,120212,TBT6418115,2025-000069,2025-06-14,2025-06-14,Open,Collision,"9809 Rodney Run, Royfurt, FM 90958",1684.78,88.59,2529.08,132.71,,,"C. Collins, 667-251-7450"
NATI,120015,RRT2628315,2025-000070,2025-06-14,2025-06-14,Closed,Slip/Fall,"34820 Brian Loop, Foleytown, GU 19075",14000.63,2640.27,0.0,0.0,2025-07-20,,"J. Cowan, 422-838-6152x502"
NATI,120220,HCX9444364,2025-000071,2025-06-15,2025-06-15,Closed,Wind/Hail,"2936 Nancy Cove Apt. 068, West Carloschester, ID 81829",7725.16,1903.22,0.0,0.0,2025-07-16,,"R. Jennings, 356-921-0483x8445"
HART,120109,ZMY7893382,2025-000072,2025-06-16,2025-06-18,Open,Wind/Hail,"529 Romero Spurs Apt. 929, Kelseyfurt, NY 34783",26935.9,9439.36,58180.01,7828.7,,,"C. Ochoa, 638-951-1404"
LIBM,120212,BXZ1540915,2025-000073,2025-06-16,2025-06-16,Closed,Wind/Hail,"9629 Taylor Summit Suite 530, Beckton, DE 53021",1801.91,503.83,0.0,0.0,2025-08-02,,"M. Nielsen, 530.377.9369"
GEIC,120177,NUX5683103,2025-000074,2025-06-18,2025-06-20,Open,Glass,"4426 Kelli Brook Apt. 738, West Brittanyport, MN 42723",111.45,13.87,102.94,25.56,,,"J. Short, 001-361-971-7267x3983"
FARM,120218,UEB9071605,2025-000075,2025-06-19,2025-06-19,Open,Liability BI/PD,"369 William Rue Suite 521, Carlosside, ID 54706",109.0,28.03,211.52,16.03,,,"P. Roberts, 001-505-913-7371x76001"
AMFA,120042,TYX8448479,2025-000076,2025-06-19,2025-06-19,Closed,Fire,"78755 Ross Mountain Suite 718, South Josephmouth, VT 37038",20684.73,1376.36,0.0,0.0,2025-09-27,,"E. Sanchez, 001-913-634-6048"
LIBM,120289,FDD1935484,2025-000077,2025-06-21,2025-06-21,Closed,Comprehensive Theft,"6531 Bell Avenue, East Kelsey, DC 37856",4359.38,947.39,0.0,0.0,2025-08-01,,"A. Duran, (816)320-4430x634"
LIBM,120183,SAY6784724,2025-000078,2025-06-22,2025-06-23,Closed,Liability,"2061 Carol Road Suite 282, Smithborough, OK 17613",1979.36,316.22,0.0,0.0,2025-07-19,,"P. Luna, 2527297466"
ALLS,120215,JET6545807,2025-000079,2025-06-24,2025-06-24,Open,Collision,"32155 Singleton Harbors, Lake Richard, VT 52550",261.59,137.3,1218.0,132.02,,,"S. Smith, 716.487.1405x58216"
PRGS,120020,MAR1954894,2025-000080,2025-06-30,2025-06-30,Closed,Fire,"48024 Gardner Trace, Dunlaphaven, GU 46406",904.43,163.71,0.0,0.0,2025-08-07,,"J. Bryant, 386.828.0645x4999"
FARM,120133,CTP9632923,2025-000081,2025-07-01,2025-07-01,Reopened,Collision,"3347 Gene Cove, Brittanyton, AL 20493",4396.35,624.05,3351.78,470.32,2025-09-28,2025-10-04,"L. Braun, (298)578-4457"
LIBM,120143,YKF5253821,2025-000082,2025-07-01,2025-07-03,Closed,Collision,"27084 Rodriguez Brook, Gomezville, PR 57886",2285.26,415.02,0.0,0.0,2025-09-28,,"B. Harris, 310.924.9831x1923"
LIBM,120014,YMP1746612,2025-000083,2025-07-03,2025-07-03,Closed,Collision,"18915 Shawn Park Suite 612, New Williammouth, GU 80065",4036.25,570.22,0.0,0.0,2025-08-24,,"J. Hall, 3789908065"
GEIC,120221,WZJ4118143,2025-000084,2025-07-04,2025-07-05,Closed,Collision,"044 Parker Greens Apt. 525, Jenniferbury, FM 91763",6456.48,627.69,0.0,0.0,2025-09-05,,"B. Graves, +1-993-553-8912x2425"
ALLS,120085,DSJ9642977,2025-000085,2025-07-06,2025-07-07,Closed,Liability BI/PD,"605 Jones Extension Suite 212, Hayesstad, MT 47371",1187.34,268.31,0.0,0.0,2025-10-27,,"S. Mcdonald, 929.453.2817x30932"
HART,120163,SUX0035296,2025-000086,2025-07-08,2025-07-08,Closed,Strain/Sprain,"278 Davis Courts Apt. 003, Dianefort, MH 64031",19303.84,3692.6,0.0,0.0,2025-10-14,,"S. Proctor, 2039695816"
GEIC,120114,LXJ5241619,2025-000087,2025-07-09,2025-07-09,Open,Collision,"892 Scott Land, South Miranda, AL 36894",184.03,45.38,386.43,79.79,,,"S. Price, 234.782.5309"
TRAV,120067,UMS2024158,2025-000088,2025-07-10,2025-07-11,Closed,Wind/Hail,"57572 Teresa Court Apt. 314, West Danielberg, NC 58565",13969.93,3486.89,0.0,0.0,2025-09-19,,"S. Stevenson, +1-454-221-7751"
PRGS,120053,YCH5041235,2025-000089,2025-07-11,2025-07-12,Reopened,Liability,"0236 Cox Ports, Justinside, MT 46801",22601.95,2078.65,5662.51,2013.15,2025-09-23,2025-11-21,"N. Fuentes, 001-959-880-4538x744"
PRGS,120212,CFK3108978,2025-000090,2025-07-11,2025-07-12,Closed,Collision,"2763 Brittany Light, New Heather, AR 26685",6832.02,1355.21,0.0,0.0,2025-09-23,,"D. Wilson, 685-989-7113"
AMFA,120045,XKS7629966,2025-000091,2025-07-12,2025-07-13,Open,Strain/Sprain,"848 Lucas Common, Lake Anthony, MD 79910",9887.0,1731.94,26689.89,4120.64,,,"S. Tucker, +1-520-249-2061x147"
PRGS,120236,FVD9360906,2025-000092,2025-07-13,2025-07-15,Closed,Collision,"029 Davis Road, Jenkinsborough, NM 31838",307.72,101.23,0.0,0.0,2025-11-09,,"W. Mullen, 689-409-9382x804"
GEIC,120200,XUH3160541,2025-000093,2025-07-14,2025-07-15,Closed,Water (non-flood),"71928 Peters Shoals, West Curtis, OK 26809",1778.91,379.06,0.0,0.0,2025-10-25,,"C. Santiago, 001-946-306-2403x288"
LIBM,120165,VVH8968981,2025-000094,2025-07-15,2025-07-15,Open,Fire,"757 Claudia Canyon Suite 327, Wilsonfort, MH 69240",1365.46,938.33,7129.06,1044.82,,,"A. Rodriguez, (954)228-2226"
CHUB,120014,MGT9548978,2025-000095,2025-07-22,2025-07-23,Closed,Glass,"906 Krista Lodge, Burgessberg, MT 58275",1055.72,52.79,0.0,0.0,2025-11-18,,"C. Young, 001-651-468-7460x47176"
ALLS,120180,LJR4326464,2025-000096,2025-07-22,2025-07-22,Closed,Collision,"27954 Hill Harbor, Lake Alexander, TX 17357",6510.42,1605.53,0.0,0.0,2025-09-18,,"M. Rodgers, 475.411.0274x143"
TRAV,120004,BXM3945562,2025-000097,2025-07-22,2025-07-23,Open,Liability BI/PD,"45699 Lindsey Course Suite 324, Ortegatown, ND 55227",901.33,658.94,3758.59,884.02,,,"M. Smith, 001-343-686-3561"
ALLS,120223,BKD8883136,2025-000098,2025-07-23,2025-07-25,Closed,Water (non-flood),"73741 John Field, Hobbsfurt, SC 10230",13959.26,4251.52,0.0,0.0,2025-10-11,,"P. Morales, 484.875.6649x13641"
GEIC,120271,WPR0678169,2025-000099,2025-07-24,2025-07-24,Closed,Collision,"06705 Gross Knoll Suite 917, West Jessicamouth, VI 41067",5192.78,624.6,0.0,0.0,2025-09-04,,"J. Benton, 001-398-870-0050x50513"
ALLS,120087,TGG5470180,2025-000100,2025-07-25,2025-07-25,Closed,Wind/Hail,"6538 Emma Islands Apt. 688, Port Crystalburgh, VT 78255",4325.11,828.41,0.0,0.0,2025-10-08,,"T. Shaw, 997.312.7307x780"
NATI,120298,DRA5099442,2025-000101,2025-07-25,2025-07-25,Closed,Water (non-flood),"8284 Romero Lane Suite 068, Bellmouth, NY 82609",1450.26,226.89,0.0,0.0,2025-11-06,,"M. Gonzalez, 4962802600"
TRAV,120172,CBH6563768,2025-000102,2025-07-26,2025-07-26,Open,Fire,"55450 David Mills Apt. 166, Hodgestad, AL 64636",4172.34,531.83,3676.35,833.38,,,"J. Parks, (900)260-6085"
PRGS,120124,EBY2494285,2025-000103,2025-07-28,2025-07-29,Closed,Collision,"1425 Jane Mall, Port Jamesport, KS 68392",3363.56,704.81,0.0,0.0,2025-08-22,,"D. Woods, 658.899.6687"
TRAV,120212,UNK3551735,2025-000104,2025-08-02,2025-08-04,Open,Glass,"48315 Cynthia Ford, Richardsonland, MO 02723",1168.93,220.45,1640.41,133.84,,,"A. Mcclure, 999-303-4245x94306"
PRGS,120215,XDM3617181,2025-000105,2025-08-02,2025-08-02,Open,Liability BI/PD,"259 Lindsey Prairie Suite 391, Carneyshire, DC 81325",107.29,35.07,212.29,4.71,,,"B. Reese, 643.968.2239"
GEIC,120061,KBK7630515,2025-000106,2025-08-03,2025-08-04,Open,Strain/Sprain,"871 Brandon Spring Apt. 433, Maystown, MI 27880",282.28,173.37,499.43,44.92,,,"J. Garza, +1-767-935-2003x28448"
GEIC,120271,ECU4679115,2025-000107,2025-08-04,2025-08-05,Closed,Collision,"1872 Hall Mountain Apt. 302, North Eric, MO 17932",2575.25,716.63,0.0,0.0,2025-09-12,,"R. Smith, 001-836-402-6926x602"
PRGS,120026,VHF5127096,2025-000108,2025-08-04,2025-08-05,Open,Liability BI/PD,"4696 Larsen Canyon Apt. 036, Thomastown, ID 27767",2831.69,956.2,6651.16,396.74,,,"B. Dyer, +1-710-587-6606x8010"
NATI,120209,CDK7405589,2025-000109,2025-08-04,2025-08-07,Closed,Collision,"7771 Dunn Court, Mejialand, TN 28209",2759.91,665.38,0.0,0.0,2025-11-10,,"C. Smith, 507.393.8140x97133"
LIBM,120217,YYH0587170,2025-000110,2025-08-05,2025-08-06,Closed,Liability BI/PD,"0939 Henderson Alley Apt. 461, North Lindsaystad, VI 44378",3128.26,655.41,0.0,0.0,2025-09-25,,"J. Olson, 698-705-0597x06046"
NATI,120144,NBJ0289645,2025-000111,2025-08-08,2025-08-08,Open,Weather,"6244 Bray Parks Apt. 770, Smithmouth, CT 40311",2679.64,378.75,2766.04,447.96,,,"T. Torres, 745-985-9200x5280"
TRAV,120110,ZEL9395098,2025-000112,2025-08-10,2025-08-10,Closed,Water (non-flood),"58278 Kevin Dam, Huffshire, CA 03490",38628.43,6435.07,0.0,0.0,2025-10-08,,"N. Oconnor, 523-616-5910"
HART,120215,NXD4154485,2025-000113,2025-08-10,2025-08-10,Closed,Comprehensive Theft,"7593 Thomas Cliff, Wolfside, WY 15012",3641.1,337.26,0.0,0.0,2025-12-09,,"K. Ryan, 509-861-8167"
CHUB,120090,LPX6166826,2025-000114,2025-08-11,2025-08-11,Closed,Fire,"075 Kristin Drives, Thomashaven, WA 67802",5078.0,842.77,0.0,0.0,2025-10-08,,"A. Smith, 546-709-1850x8640"
TRAV,120161,RAT7666321,2025-000115,2025-08-11,2025-08-12,Closed,Collision,"22102 Ricardo Junctions Apt. 289, West Amymouth, NH 27605",1529.66,290.7,0.0,0.0,2025-09-07,,"L. Griffin, 680.525.4688x8254"
PRGS,120112,RXS6610787,2025-000116,2025-08-11,2025-08-11,Closed,Collision,"289 Steven Square Apt. 815, West Mark, NV 41798",2108.37,278.52,0.0,0.0,2025-11-19,,"K. Jones, 001-466-207-1725x175"
PRGS,120204,DSG0097872,2025-000117,2025-08-14,2025-08-14,Open,Other,"11163 Louis Overpass, Katherinebury, MA 74377",6371.35,3520.12,10400.19,1555.21,,,"A. Decker, 001-861-505-4393"
TRAV,120270,VDW2466316,2025-000118,2025-08-15,2025-08-15,Reopened,Comprehensive Theft,"975 David Turnpike Apt. 120, Davisside, FL 83488",1526.44,168.1,660.42,127.17,2025-09-26,2025-12-10,"K. Jones, 001-636-791-1280"
LIBM,120291,VUN3948228,2025-000119,2025-08-17,2025-08-17,Closed,Wind/Hail,"784 Brenda Curve, Muellerville, MS 67323",8221.16,997.83,0.0,0.0,2025-10-18,,"S. Allen, (815)674-5812x9529"
FARM,120257,SHZ1849605,2025-000120,2025-08-18,2025-08-19,Reopened,Wind/Hail,"483 Davis Heights, East Ryan, ND 52740",5458.69,129.48,1406.94,213.8,2025-09-28,2025-10-28,"A. Woodward, 260-225-9286x84572"
